U,index_U,i,V,index_V,j,yhat
1,73,1,3,74,7,0.6694661114228375
2,73,2,4,75,12,0.6712506778453595
3,73,3,1,73,1,0.6729796327676458
4,73,4,2,76,14,0.6464029252970647
1,74,5,3,73,3,0.6694661114228375
2,74,6,4,73,4,0.6712506778453595
3,74,7,1,75,9,0.6729796327676458
4,74,8,2,73,2,0.6464029252970647
1,75,9,3,76,15,0.6694661114228375
2,75,10,4,74,8,0.6712506778453595
3,75,11,1,76,13,0.6729796327676458
4,75,12,2,74,6,0.6464029252970647
1,76,13,3,75,11,0.6694661114228375
2,76,14,4,76,16,0.6712506778453595
3,76,15,1,74,5,0.6729796327676458
4,76,16,2,75,10,0.6464029252970647
