U,index_U,i,V,index_V,j,yhat
1,65,1,3,68,15,0.7048358716961189
2,65,2,2,68,14,0.6851857849023435
3,65,3,1,67,9,0.6522207528806392
4,65,4,4,66,8,0.6573597072984396
1,66,5,3,67,11,0.7048358716961189
2,66,6,2,67,10,0.6851857849023435
3,66,7,1,66,5,0.6522207528806392
4,66,8,4,65,4,0.6573597072984396
1,67,9,3,66,7,0.7048358716961189
2,67,10,2,66,6,0.6851857849023435
3,67,11,1,68,13,0.6522207528806392
4,67,12,4,67,12,0.6573597072984396
1,68,13,3,65,3,0.7048358716961189
2,68,14,2,65,2,0.6851857849023435
3,68,15,1,65,1,0.6522207528806392
4,68,16,4,68,16,0.6573597072984396
