U,index_U,i,V,index_V,j,yhat
1,41,1,2,44,14,0.6094684294156087
2,41,2,4,43,12,0.6686551633794534
3,41,3,3,42,7,0.670820660651845
4,41,4,1,43,9,0.5983917958430853
1,42,5,2,43,10,0.6094684294156087
2,42,6,4,41,4,0.6686551633794534
3,42,7,3,41,3,0.670820660651845
4,42,8,1,42,5,0.5983917958430853
1,43,9,2,41,2,0.6094684294156087
2,43,10,4,42,8,0.6686551633794534
3,43,11,3,43,11,0.670820660651845
4,43,12,1,44,13,0.5983917958430853
1,44,13,2,42,6,0.6094684294156087
2,44,14,4,44,16,0.6686551633794534
3,44,15,3,44,15,0.670820660651845
4,44,16,1,41,1,0.5983917958430853
