U,index_U,i,V,index_V,j,yhat
1,5,1,2,7,10,1.6503899759856498e-4
2,5,2,4,6,8,0.03370459052000718
3,5,3,1,7,9,0.0038378582066209265
4,5,4,3,7,11,0.022702161543354575
1,6,5,2,8,14,1.6503899759856498e-4
2,6,6,4,5,4,0.03370459052000718
3,6,7,1,5,1,0.0038378582066209265
4,6,8,3,6,7,0.022702161543354575
1,7,9,2,6,6,1.6503899759856498e-4
2,7,10,4,7,12,0.03370459052000718
3,7,11,1,8,13,0.0038378582066209265
4,7,12,3,8,15,0.022702161543354575
1,8,13,2,5,2,1.6503899759856498e-4
2,8,14,4,8,16,0.03370459052000718
3,8,15,1,6,5,0.0038378582066209265
4,8,16,3,5,3,0.022702161543354575
