U,index_U,i,V,index_V,j,yhat
1,37,1,3,38,7,0.6761159985201004
2,37,2,1,39,9,0.7006743804859149
3,37,3,2,40,14,0.5855803460914043
4,37,4,4,38,8,0.6921574300846831
1,38,5,3,37,3,0.6761159985201004
2,38,6,1,38,5,0.7006743804859149
3,38,7,2,38,6,0.5855803460914043
4,38,8,4,40,16,0.6921574300846831
1,39,9,3,39,11,0.6761159985201004
2,39,10,1,37,1,0.7006743804859149
3,39,11,2,37,2,0.5855803460914043
4,39,12,4,39,12,0.6921574300846831
1,40,13,3,40,15,0.6761159985201004
2,40,14,1,40,13,0.7006743804859149
3,40,15,2,39,10,0.5855803460914043
4,40,16,4,37,4,0.6921574300846831
