U,index_U,i,V,index_V,j,yhat
1,49,1,4,50,8,0.6663735413641875
2,49,2,1,51,9,0.6547996754026569
3,49,3,2,52,14,0.5946568284044087
4,49,4,3,52,15,0.6496855233826332
1,50,5,4,51,12,0.6663735413641875
2,50,6,1,50,5,0.6547996754026569
3,50,7,2,51,10,0.5946568284044087
4,50,8,3,51,11,0.6496855233826332
1,51,9,4,49,4,0.6663735413641875
2,51,10,1,49,1,0.6547996754026569
3,51,11,2,49,2,0.5946568284044087
4,51,12,3,49,3,0.6496855233826332
1,52,13,4,52,16,0.6663735413641875
2,52,14,1,52,13,0.6547996754026569
3,52,15,2,50,6,0.5946568284044087
4,52,16,3,50,7,0.6496855233826332
