U,index_U,i,V,index_V,j,yhat
1,61,1,2,62,6,0.6886713086675401
2,61,2,4,64,16,0.6613475803220749
3,61,3,1,62,5,0.6061228699668068
4,61,4,3,63,11,0.665809194239231
1,62,5,2,61,2,0.6886713086675401
2,62,6,4,63,12,0.6613475803220749
3,62,7,1,64,13,0.6061228699668068
4,62,8,3,61,3,0.665809194239231
1,63,9,2,63,10,0.6886713086675401
2,63,10,4,62,8,0.6613475803220749
3,63,11,1,63,9,0.6061228699668068
4,63,12,3,62,7,0.665809194239231
1,64,13,2,64,14,0.6886713086675401
2,64,14,4,61,4,0.6613475803220749
3,64,15,1,61,1,0.6061228699668068
4,64,16,3,64,15,0.665809194239231
