U,index_U,i,V,index_V,j,yhat
1,57,1,4,59,12,0.7180859096858676
2,57,2,2,59,10,0.6610052659042359
3,57,3,1,58,5,0.6614436718298674
4,57,4,3,59,11,0.6652834060541348
1,58,5,4,58,8,0.7180859096858676
2,58,6,2,60,14,0.6610052659042359
3,58,7,1,60,13,0.6614436718298674
4,58,8,3,58,7,0.6652834060541348
1,59,9,4,60,16,0.7180859096858676
2,59,10,2,58,6,0.6610052659042359
3,59,11,1,57,1,0.6614436718298674
4,59,12,3,57,3,0.6652834060541348
1,60,13,4,57,4,0.7180859096858676
2,60,14,2,57,2,0.6610052659042359
3,60,15,1,59,9,0.6614436718298674
4,60,16,3,60,15,0.6652834060541348
