U,index_U,i,V,index_V,j,yhat
1,77,1,3,77,3,0.6384277610229653
2,77,2,2,78,6,0.6854192344346544
3,77,3,1,78,5,0.6805594359912654
4,77,4,4,78,8,0.68134949007302
1,78,5,3,80,15,0.6384277610229653
2,78,6,2,79,10,0.6854192344346544
3,78,7,1,77,1,0.6805594359912654
4,78,8,4,77,4,0.68134949007302
1,79,9,3,79,11,0.6384277610229653
2,79,10,2,80,14,0.6854192344346544
3,79,11,1,80,13,0.6805594359912654
4,79,12,4,79,12,0.68134949007302
1,80,13,3,78,7,0.6384277610229653
2,80,14,2,77,2,0.6854192344346544
3,80,15,1,79,9,0.6805594359912654
4,80,16,4,80,16,0.68134949007302
