U,index_U,i,V,index_V,j,yhat
1,45,1,1,47,9,0.6266520142678457
2,45,2,2,46,6,0.7286150625607567
3,45,3,4,48,16,0.6539625349399812
4,45,4,3,46,7,0.6958786248793611
1,46,5,1,46,5,0.6266520142678457
2,46,6,2,45,2,0.7286150625607567
3,46,7,4,46,8,0.6539625349399812
4,46,8,3,45,3,0.6958786248793611
1,47,9,1,48,13,0.6266520142678457
2,47,10,2,47,10,0.7286150625607567
3,47,11,4,47,12,0.6539625349399812
4,47,12,3,47,11,0.6958786248793611
1,48,13,1,45,1,0.6266520142678457
2,48,14,2,48,14,0.7286150625607567
3,48,15,4,45,4,0.6539625349399812
4,48,16,3,48,15,0.6958786248793611
