U,index_U,i,V,index_V,j,yhat
1,25,1,4,26,8,0.6952304925199775
2,25,2,2,27,10,0.6635578153505257
3,25,3,3,28,15,0.6170963796571156
4,25,4,1,27,9,0.6463989424782113
1,26,5,4,25,4,0.6952304925199775
2,26,6,2,25,2,0.6635578153505257
3,26,7,3,27,11,0.6170963796571156
4,26,8,1,26,5,0.6463989424782113
1,27,9,4,27,12,0.6952304925199775
2,27,10,2,26,6,0.6635578153505257
3,27,11,3,25,3,0.6170963796571156
4,27,12,1,28,13,0.6463989424782113
1,28,13,4,28,16,0.6952304925199775
2,28,14,2,28,14,0.6635578153505257
3,28,15,3,26,7,0.6170963796571156
4,28,16,1,25,1,0.6463989424782113
