U,index_U,i,V,index_V,j,yhat
1,33,1,2,34,6,0.5824854520953437
2,33,2,3,36,15,0.7376496802041818
3,33,3,4,36,16,0.6323165779721788
4,33,4,1,34,5,0.6682797345847873
1,34,5,2,33,2,0.5824854520953437
2,34,6,3,35,11,0.7376496802041818
3,34,7,4,35,12,0.6323165779721788
4,34,8,1,35,9,0.6682797345847873
1,35,9,2,36,14,0.5824854520953437
2,35,10,3,33,3,0.7376496802041818
3,35,11,4,33,4,0.6323165779721788
4,35,12,1,33,1,0.6682797345847873
1,36,13,2,35,10,0.5824854520953437
2,36,14,3,34,7,0.7376496802041818
3,36,15,4,34,8,0.6323165779721788
4,36,16,1,36,13,0.6682797345847873
