U,index_U,i,V,index_V,j,yhat
1,29,1,1,30,5,0.6155806157591954
2,29,2,3,30,7,0.682453628601865
3,29,3,2,29,2,0.60865975711046
4,29,4,4,29,4,0.6598626970652515
1,30,5,1,29,1,0.6155806157591954
2,30,6,3,29,3,0.682453628601865
3,30,7,2,32,14,0.60865975711046
4,30,8,4,31,12,0.6598626970652515
1,31,9,1,31,9,0.6155806157591954
2,31,10,3,31,11,0.682453628601865
3,31,11,2,30,6,0.60865975711046
4,31,12,4,30,8,0.6598626970652515
1,32,13,1,32,13,0.6155806157591954
2,32,14,3,32,15,0.682453628601865
3,32,15,2,31,10,0.60865975711046
4,32,16,4,32,16,0.6598626970652515
