U,index_U,i,V,index_V,j,yhat
1,69,1,1,69,1,0.6614285807372311
2,69,2,4,71,12,0.6734722271805538
3,69,3,2,72,14,0.6095218385995306
4,69,4,3,71,11,0.6888382860462344
1,70,5,1,72,13,0.6614285807372311
2,70,6,4,72,16,0.6734722271805538
3,70,7,2,71,10,0.6095218385995306
4,70,8,3,69,3,0.6888382860462344
1,71,9,1,70,5,0.6614285807372311
2,71,10,4,69,4,0.6734722271805538
3,71,11,2,70,6,0.6095218385995306
4,71,12,3,72,15,0.6888382860462344
1,72,13,1,71,9,0.6614285807372311
2,72,14,4,70,8,0.6734722271805538
3,72,15,2,69,2,0.6095218385995306
4,72,16,3,70,7,0.6888382860462344
