U,index_U,i,V,index_V,j,yhat
1,21,1,2,23,10,0.5888449526554741
2,21,2,4,22,8,0.6142708936227431
3,21,3,1,22,5,0.6068700150302535
4,21,4,3,23,11,0.6442447821552749
1,22,5,2,24,14,0.5888449526554741
2,22,6,4,24,16,0.6142708936227431
3,22,7,1,21,1,0.6068700150302535
4,22,8,3,24,15,0.6442447821552749
1,23,9,2,21,2,0.5888449526554741
2,23,10,4,21,4,0.6142708936227431
3,23,11,1,24,13,0.6068700150302535
4,23,12,3,22,7,0.6442447821552749
1,24,13,2,22,6,0.5888449526554741
2,24,14,4,23,12,0.6142708936227431
3,24,15,1,23,9,0.6068700150302535
4,24,16,3,21,3,0.6442447821552749
