U,index_U,i,V,index_V,j,yhat
1,17,1,3,18,7,0.6087241399380345
2,17,2,2,19,10,0.6082982195420977
3,17,3,4,17,4,0.5552835035613657
4,17,4,1,18,5,0.5762932999400685
1,18,5,3,17,3,0.6087241399380345
2,18,6,2,17,2,0.6082982195420977
3,18,7,4,20,16,0.5552835035613657
4,18,8,1,17,1,0.5762932999400685
1,19,9,3,19,11,0.6087241399380345
2,19,10,2,18,6,0.6082982195420977
3,19,11,4,19,12,0.5552835035613657
4,19,12,1,19,9,0.5762932999400685
1,20,13,3,20,15,0.6087241399380345
2,20,14,2,20,14,0.6082982195420977
3,20,15,4,18,8,0.5552835035613657
4,20,16,1,20,13,0.5762932999400685
