U,index_U,i,V,index_V,j,yhat
1,9,1,2,11,10,0.5983078430520667
2,9,2,3,11,11,0.6071231818248211
3,9,3,4,12,16,0.5790835121914131
4,9,4,1,12,13,0.6361990390732287
1,10,5,2,9,2,0.5983078430520667
2,10,6,3,10,7,0.6071231818248211
3,10,7,4,9,4,0.5790835121914131
4,10,8,1,9,1,0.6361990390732287
1,11,9,2,10,6,0.5983078430520667
2,11,10,3,12,15,0.6071231818248211
3,11,11,4,11,12,0.5790835121914131
4,11,12,1,10,5,0.6361990390732287
1,12,13,2,12,14,0.5983078430520667
2,12,14,3,9,3,0.6071231818248211
3,12,15,4,10,8,0.5790835121914131
4,12,16,1,11,9,0.6361990390732287
