U,index_U,i,V,index_V,j,yhat
1,53,1,3,53,3,0.6516155268845754
2,53,2,1,56,13,0.6091492517392784
3,53,3,4,56,16,0.6473540321683894
4,53,4,2,55,10,0.7229005265908083
1,54,5,3,56,15,0.6516155268845754
2,54,6,1,54,5,0.6091492517392784
3,54,7,4,55,12,0.6473540321683894
4,54,8,2,54,6,0.7229005265908083
1,55,9,3,55,11,0.6516155268845754
2,55,10,1,55,9,0.6091492517392784
3,55,11,4,54,8,0.6473540321683894
4,55,12,2,56,14,0.7229005265908083
1,56,13,3,54,7,0.6516155268845754
2,56,14,1,53,1,0.6091492517392784
3,56,15,4,53,4,0.6473540321683894
4,56,16,2,53,2,0.7229005265908083
