U,V,ybar,yhat
1,1,0.676923076923077,0.6223865627971549
1,2,0.6688034188034189,0.6278765673693038
1,3,0.6615384615384615,0.5992332241529614
1,4,0.5128205128205129,0.6080844018056312
2,1,0.6153846153846154,0.667672385640114
2,2,0.7005494505494506,0.6789946431041434
2,3,0.6978021978021978,0.6459101224840049
2,4,0.6673076923076924,0.6678814798508564
3,1,0.5673076923076923,0.6507752936189493
3,2,0.6346153846153846,0.6681058171767026
3,3,0.6016483516483516,0.6369221674612955
3,4,0.6153846153846154,0.6529494272669569
4,1,0.5909090909090909,0.6144765527830763
4,2,0.8557692307692307,0.6379320574530274
4,3,0.6698717948717949,0.6092276726227344
4,4,0.6456043956043955,0.6231472212511725
