U,V,ybar,yhat
1,1,0.676923076923077,0.6208918696460015
1,2,0.6291208791208791,0.6361557667806399
1,3,0.7051282051282051,0.5919522658121419
1,4,0.5128205128205129,0.5983450291447417
2,1,0.625,0.646162263567688
2,2,0.7005494505494506,0.6773240013745214
2,3,0.6978021978021978,0.6294616099064085
2,4,0.7083333333333334,0.6575824432823779
3,1,0.5673076923076923,0.651034750612619
3,2,0.6217948717948718,0.6749979218523692
3,3,0.5673076923076923,0.6264262359045566
3,4,0.6153846153846154,0.650095437684202
4,1,0.561965811965812,0.612838325910144
4,2,0.8557692307692307,0.6540147025267226
4,3,0.6698717948717949,0.6092461404078734
4,4,0.6653846153846155,0.6280955547445111
