U,V,ybar,yhat
1,1,0.6730769230769231,0.6487761532451788
1,2,0.6538461538461539,0.6512907448397394
1,3,0.6991758241758241,0.644090387484528
1,4,0.6002747252747253,0.628520513079718
2,1,0.6593406593406593,0.6581904899747913
2,2,0.6722027972027972,0.6631038475503647
2,3,0.6978021978021978,0.6422215758164745
2,4,0.6936813186813187,0.649748829626826
3,1,0.6785714285714286,0.66786693349978
3,2,0.6195054945054945,0.6721041655914897
3,3,0.6016483516483516,0.6514347853531907
3,4,0.6311188811188811,0.6553197045946314
4,1,0.5909090909090909,0.6370589223103673
4,2,0.7243589743589743,0.6527586726333219
4,3,0.6695804195804196,0.6335497532076044
4,4,0.6456043956043955,0.6338542438704986
