U,V,ybar,yhat
1,1,0.6538461538461539,0.6134861315772416
1,2,0.5544871794871795,0.610482900969871
1,3,0.7051282051282051,0.5517115796794794
1,4,0.625,0.5803740263128967
2,1,0.625,0.6218880086551563
2,2,0.6865384615384615,0.6469221049934265
2,3,0.7019230769230769,0.5773551610693914
2,4,0.6057692307692307,0.6464121657354153
3,1,0.4519230769230769,0.6456570022573033
3,2,0.4326923076923077,0.6484028465635923
3,3,0.5128205128205129,0.5811537651140192
3,4,0.6288461538461539,0.6345896824113525
4,1,0.5307692307692308,0.6364687577725121
4,2,0.8557692307692307,0.6407748310168824
4,3,0.7019230769230769,0.6039106175072718
4,4,0.6858974358974359,0.6391962340031602
