U,V,ybar,yhat
1,1,0.6495726495726496,0.6474886577208319
1,2,0.6538461538461539,0.6492988913360596
1,3,0.6984265734265734,0.6530683939620912
1,4,0.6002747252747253,0.6258865622109385
2,1,0.6593406593406593,0.6500418089833908
2,2,0.6538461538461539,0.6489608315538864
2,3,0.6978021978021978,0.6292188407478654
2,4,0.6695804195804196,0.632850748546851
3,1,0.7080419580419581,0.6639959716803797
3,2,0.592948717948718,0.6639779207372648
3,3,0.6016483516483516,0.6466965630547348
3,4,0.6311188811188811,0.6426459709502966
4,1,0.5909090909090909,0.6373995359528228
4,2,0.6365384615384616,0.6482930288398048
4,3,0.6375739644970414,0.6354515532911952
4,4,0.6752136752136753,0.6372068620899732
