U,V,ybar,yhat
1,1,0.676923076923077,0.6174231839434063
1,2,0.6291208791208791,0.6295634873839423
1,3,0.6615384615384615,0.5929216870282444
1,4,0.5128205128205129,0.5963067375558724
2,1,0.6153846153846154,0.643577570246667
2,2,0.7005494505494506,0.6725059572583496
2,3,0.6978021978021978,0.6302490320415077
2,4,0.7083333333333334,0.6511927827366153
3,1,0.5673076923076923,0.6402624192349882
3,2,0.6346153846153846,0.6671591709336683
3,3,0.5673076923076923,0.6244951408012978
3,4,0.6153846153846154,0.643396551906914
4,1,0.561965811965812,0.610716309403759
4,2,0.8557692307692307,0.6480817787584323
4,3,0.6698717948717949,0.6088815577183664
4,4,0.6456043956043955,0.6215515640854582
