U,V,ybar,yhat
1,1,0.6730769230769231,0.6394437529677367
1,2,0.6688034188034189,0.6396480424909595
1,3,0.6991758241758241,0.6078616004051064
1,4,0.5942307692307692,0.6173152383115874
2,1,0.6593406593406593,0.6687617164792216
2,2,0.6848290598290598,0.6710485885505694
2,3,0.6978021978021978,0.6365856208155931
2,4,0.6673076923076924,0.6576313403266806
3,1,0.5673076923076923,0.6773670347193109
3,2,0.6195054945054945,0.6790147350173051
3,3,0.6016483516483516,0.6480562236858156
3,4,0.6311188811188811,0.6669539556309216
4,1,0.5909090909090909,0.6378655884707429
4,2,0.7243589743589743,0.6468089833736635
4,3,0.7005494505494506,0.6198963630019404
4,4,0.6456043956043955,0.6326098266765791
