U,V,ybar,yhat
1,1,0.8653846153846154,0.849943735151582
1,2,0.6923076923076923,0.7011099507940454
1,3,0.5,0.15588029445083437
1,4,0.7884615384615384,0.649473456685954
2,1,0.6923076923076923,0.7085001225172244
2,2,0.8076923076923077,0.8082387197668575
2,3,0.7884615384615384,0.6985663440481835
2,4,0.38461538461538464,0.7762066972391649
3,1,0.1346153846153846,0.547470372198272
3,2,0.6538461538461539,0.8511997717036729
3,3,0.1346153846153846,0.19810543140883025
3,4,0.5192307692307693,0.7190740931092601
4,1,0.6153846153846154,0.8020418074046047
4,2,0.7884615384615384,0.4368609606325836
4,3,0.6538461538461539,0.5607767198599277
4,4,0.6923076923076923,0.6649109171330243
