U,V,ybar,yhat
1,1,0.6730769230769231,0.6352707851828543
1,2,0.6688034188034189,0.6413371012922428
1,3,0.6615384615384615,0.6056940324306275
1,4,0.5942307692307692,0.6175295031843561
2,1,0.6653846153846155,0.6634137662070773
2,2,0.6848290598290598,0.6715068178460007
2,3,0.6978021978021978,0.6334496655174418
2,4,0.6673076923076924,0.6613058358641105
3,1,0.5673076923076923,0.6573739175367552
3,2,0.6195054945054945,0.6718463121663185
3,3,0.6016483516483516,0.6368212245086484
3,4,0.6111111111111112,0.6604331164088646
4,1,0.5909090909090909,0.629405711547413
4,2,0.8557692307692307,0.6457757091122823
4,3,0.7005494505494506,0.6128352061307568
4,4,0.6456043956043955,0.63049556002833
