U,V,ybar,yhat
1,1,0.47115384615384615,0.5014394187970632
1,2,0.4230769230769231,0.5263479788907707
1,3,0.5192307692307693,0.4999184558922851
1,4,0.47115384615384615,0.5498071426685701
2,1,0.5128205128205129,0.4984122407343536
2,2,0.5384615384615384,0.5390399571120142
2,3,0.5096153846153846,0.5068549871996576
2,4,0.5769230769230769,0.5687124863338646
3,1,0.5576923076923077,0.5167773241181383
3,2,0.5416666666666667,0.5375955065461216
3,3,0.4519230769230769,0.49560646255799945
3,4,0.19230769230769232,0.5834219449428106
4,1,0.49038461538461536,0.49791070338273125
4,2,0.5865384615384616,0.5401892480214645
4,3,0.6634615384615384,0.44259038786416166
4,4,0.6057692307692307,0.5688038265012063
