U,V,ybar,yhat
1,1,0.6730769230769231,0.6412175655497468
1,2,0.6688034188034189,0.6401993605499949
1,3,0.6991758241758241,0.6143187846915135
1,4,0.6002747252747253,0.6189730947505984
2,1,0.6593406593406593,0.6673794429422518
2,2,0.6722027972027972,0.6654225218576532
2,3,0.6978021978021978,0.636028298062591
2,4,0.6673076923076924,0.6537424665964463
3,1,0.6057692307692307,0.6746965252272767
3,2,0.6195054945054945,0.6743836944624355
3,3,0.6016483516483516,0.6470938135406241
3,4,0.6311188811188811,0.663119331434174
4,1,0.5909090909090909,0.6362135574749791
4,2,0.7243589743589743,0.6457212681529938
4,3,0.6848290598290598,0.6225116762039714
4,4,0.6456043956043955,0.6310728803455173
