U,V,ybar,yhat
1,1,0.6538461538461539,0.6188614420904415
1,2,0.5807692307692307,0.6248627131450123
1,3,0.7051282051282051,0.571704617618127
1,4,0.625,0.5913636825220752
2,1,0.625,0.6226870826932994
2,2,0.6865384615384615,0.6540000551581105
2,3,0.7019230769230769,0.585535403417114
2,4,0.7083333333333334,0.6506415288863825
3,1,0.5673076923076923,0.6483653968560419
3,2,0.4326923076923077,0.6585215217553094
3,3,0.5128205128205129,0.5902085962657699
3,4,0.6288461538461539,0.6484593988593795
4,1,0.5307692307692308,0.6409770966485372
4,2,0.8557692307692307,0.6640433592321678
4,3,0.6698717948717949,0.6129619288907241
4,4,0.6858974358974359,0.6481845677150133
