U,V,ybar,yhat
1,1,0.6538461538461539,0.6073571873840126
1,2,0.5807692307692307,0.6328760640929588
1,3,0.7051282051282051,0.5834005864108335
1,4,0.5128205128205129,0.5976141916216489
2,1,0.625,0.6190529910018253
2,2,0.7005494505494506,0.6699554393389299
2,3,0.7019230769230769,0.6042366941583839
2,4,0.7083333333333334,0.6518445021271425
3,1,0.5673076923076923,0.6386173875963419
3,2,0.4326923076923077,0.6636746358333184
3,3,0.5673076923076923,0.6164384097499933
3,4,0.6288461538461539,0.6503931010640953
4,1,0.5576923076923077,0.6021201630347198
4,2,0.8557692307692307,0.6548802226798462
4,3,0.6698717948717949,0.6087189444294201
4,4,0.6858974358974359,0.6340437997133159
