U,V,ybar,yhat
1,1,0.6495726495726496,0.6467617176033095
1,2,0.6538461538461539,0.647923566794335
1,3,0.7222222222222222,0.6473926665537252
1,4,0.6002747252747253,0.6263338664018097
2,1,0.6593406593406593,0.6541767254576649
2,2,0.6538461538461539,0.6517481227402133
2,3,0.6978021978021978,0.628788770636222
2,4,0.6741452991452992,0.6453456503204094
3,1,0.6944444444444445,0.6709268675177037
3,2,0.592948717948718,0.6662580798276283
3,3,0.6016483516483516,0.6468477308867662
3,4,0.6311188811188811,0.6470896507875745
4,1,0.5909090909090909,0.6381434319776091
4,2,0.7243589743589743,0.6493270190797985
4,3,0.6375739644970414,0.6339543884383914
4,4,0.6752136752136753,0.640102798540805
