U,V,ybar,yhat
1,1,0.676923076923077,0.6206762014730355
1,2,0.5807692307692307,0.6473781498652038
1,3,0.7051282051282051,0.5937957841692165
1,4,0.5128205128205129,0.6023596540054555
2,1,0.625,0.6265706039831598
2,2,0.7005494505494506,0.6812213544299823
2,3,0.7326923076923078,0.6239173942126068
2,4,0.7083333333333334,0.6564966486116167
3,1,0.5673076923076923,0.6492097279743193
3,2,0.6217948717948718,0.6900200872537496
3,3,0.5673076923076923,0.6268402960733415
3,4,0.6288461538461539,0.6559164053099455
4,1,0.5576923076923077,0.6067429293443016
4,2,0.8557692307692307,0.6647291502469418
4,3,0.6698717948717949,0.6148486147898811
4,4,0.6653846153846155,0.6333289902716738
