U,V,ybar,yhat
1,1,0.6538461538461539,0.6054602064888731
1,2,0.5544871794871795,0.6050513210103879
1,3,0.5865384615384616,0.5427239801837372
1,4,0.625,0.6022125919816391
2,1,0.625,0.6005153472467176
2,2,0.608974358974359,0.6116912753022703
2,3,0.7019230769230769,0.5502586271128971
2,4,0.6057692307692307,0.6406477956477683
3,1,0.4519230769230769,0.6076153933950216
3,2,0.4326923076923077,0.6268106138975822
3,3,0.5128205128205129,0.5575262527345537
3,4,0.5801282051282052,0.6312074720874048
4,1,0.5544871794871795,0.6119007851936702
4,2,0.8557692307692307,0.617921310761658
4,3,0.7019230769230769,0.5666590479367448
4,4,0.6858974358974359,0.633840587425678
